id,categories_hierarchy,generic_name,nutriscore_score,quantity,origins,allergens
737628064502,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:pastas', 'en:noodles', 'en:Rice Noodles']",Rice Noodles,4,155 g,Thailand,en:peanuts
3017620422003,"['en:breakfasts', 'en:spreads', 'en:sweet-spreads', 'fr:pates-a-tartiner', 'en:hazelnut-spreads', 'en:chocolate-spreads', 'en:cocoa-and-hazelnuts-spreads']",Pâte à tartiner aux noisettes et au cacao,26,400 g,Unknown,"en:milk,en:nuts,en:soybeans"
5449000131805,"['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:colas', 'en:diet-sodas', 'en:diet-cola-soft-drink']","Boisson rafraîchissante aux extraits végétaux, avec édulcorants",1,330ml,Unknown,
3175680011534,"['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits', 'en:chocolate-biscuits']","Biscuits aux pépites de chocolat et au lait, source de vitamine B6, B9, E, calcium et magnésium",9,230 g,"Francia,Unión Europea,en:Non European Union","en:gluten,en:lupin,en:milk,en:soybeans,fr:Avoine"
8000500310427,"['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits', 'en:filled-biscuits']",Biscuit fourré à la pâte à tartiner aux noisettes et au cacao Nutella®,25,304 g,Unknown,"en:gluten,en:milk,en:nuts,en:soybeans"
3228857000166,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads', 'en:sliced-breads', 'en:sliced-breads-without-crust', 'en:wholemeal-breads', 'en:wholemeal-sliced-breads']",Pain de mie sans croûte à la farine complète,-4,500 g,France,en:gluten
3229820782560,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:mueslis-with-fruits']",Mélange biologique de céréales et de fruits,-3,375 g,European Union and Non European Union,"en:gluten,en:nuts,fr:Avoine"
5410188031072,"['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:vegetables-based-foods', 'en:meals', 'en:fresh-foods', 'en:soups', 'en:fresh-meals', 'en:refrigerated-foods', 'en:vegetable-soups', 'en:cold-soups', 'en:refrigerated-meals', 'en:gazpacho', 'en:refrigerated-soups']",Soupe froide de légumes,-4,1 L,fr:Légumes Espagne,
5010477348630,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:mueslis-with-fruits']","Flocons de céréales complètes avec des raisins, des copeaux de noix de coco, des noisettes grillées et des graines de tournesol issus de l'agriculture biologique.",0,500 g,Unknown,"en:gluten,en:nuts,fr:Avoine"
3068320114453,"['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:unsweetened-beverages', 'en:carbonated-waters', 'en:natural-mineral-waters', 'en:carbonated-mineral-waters']",Eau minérale naturelle avec adjonction de gaz carbonique,0,1 L,France,
3088543506255,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:sweeteners', 'en:syrups', 'en:simple-syrups', 'en:agave-syrups']",Sucre,13,350 g,"Mexique,en:Mexique",fr:Néant
3033490506629,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:desserts', 'en:dairy-desserts', 'en:fermented-dairy-desserts', 'en:fresh-foods', 'en:plain-fermented-dairy-desserts', 'en:refrigerated-foods', 'fr:specialites-laitieres', 'fr:specialites-laitieres-nature-non-sucrees']","Spécialité laitière nature, enrichie en vitamine D",-2,1 kg,fr:Lait origine UE,en:milk
7622210476104,"['en:snacks', 'en:sweet-snacks', 'en:biscuits-and-cakes', 'en:biscuits', 'en:petit-beurre', 'fr:Alimentaire']","Petit beurre pur beurre, 73% blé",3,400g (4x100g),"Blé France,Beurre UE,Sucre France,Sel France","en:gluten,en:milk"
5000112611878,"['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:colas', 'en:diet-sodas', 'en:diet-cola-soft-drink']","Boisson rafraîchissante aux extraits végétaux, avec édulcorants.",1,"1,75 L e",No especificado,
3228021170022,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:cow-cheeses', 'en:hard-cheeses', 'en:emmentaler', 'en:french-cheeses', 'en:french-emmentaler']",Emmental français (fromage à pâte pressée cuite),11,250 g,France,en:milk
5411188119098,"['en:plant-based-foods-and-beverages', 'en:fermented-foods', 'en:dairy-substitutes', 'en:desserts', 'en:non-dairy-desserts', 'en:non-dairy-fermented-foods', 'en:non-dairy-yogurts', 'en:soy-milk-yogurts']","Produit fermenté au soja, noix de coco, aromatisé, avec calcium et vitamines ajoutés",-2,500 g,Unknown,en:soybeans
3073781115345,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads']",Fromage fondu,14,160 g,France,en:milk
3252210390014,"['en:dairies', 'en:milks', 'en:homogenized-milks', 'en:semi-skimmed-milks', 'en:uht-milks']",,-1,1 l,France,en:milk
20724696,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:nuts-and-their-products', 'en:nuts', 'en:almonds', 'en:Mandeln', 'en:Nüsse', 'en:Nüsse und Nussprodukte', 'en:Pflanzliche Lebensmittel', 'en:Pflanzliche Lebensmittel und Getränke']",,-3,200g,"en:Kalifornien,en:Vereinigte Staaten von Amerika",en:nuts
8076809513753,"['en:condiments', 'en:sauces', 'en:pasta-sauces', 'en:pestos', 'en:green-pestos', 'en:Groceries']",basil pesto,19,190 g e,Italie,"en:milk,en:nuts"
87157239,"['en:condiments', 'en:sauces', 'en:mustards', 'en:tomato-sauces', 'en:dijon-mustards', 'en:ketchup', 'en:tomato-ketchup', 'en:groceries']",Sauce Ketchup,12,500ml,Unknown,en:celery
7622300441937,"['en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:cheeses', 'en:spreads', 'en:salted-spreads', 'en:cheese-spreads']",,13,150 g,Unknown,en:milk
5053990156009,"['en:snacks', 'en:salty-snacks', 'en:appetizers', 'en:chips-and-fries', 'en:crisps', 'en:salty-snacks-made-from-potato']",Snack Salé,13,175 g,Unknown,en:gluten
20916435,"['en:breakfasts', 'en:spreads', 'en:sweet-spreads', 'en:bee-products', 'en:farming-products', 'en:sweeteners', 'en:honeys', 'en:flower-honeys']",,13,250g,"Union européenne et hors union européenne,Mexique,Nicaragua,Brésil,Bulgarie",
